"","X","Acronym","DATA_SOURC","Gear_Type","year","month","date","Species","Presence","Depth","Rugosity","lat","long","st","SS","bs","bt","sh","unique","m_unique","p_a"
"47",1033276,"OD_2012_293979","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,1,"1/26/2012 0:00","d862",1,-209,0.0093632,39.88,-71.74,8.859435955,33.28626472,34.9918547,11.88010419,-0.125138788,41043,"01_41043",1
"48",1033271,"OD_2004_100535","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2004,2,"2/23/2004 0:00","d862",1,-131,0.218194,38.92,-72.91,9.19721048,34.14758394,34.96590203,7.27159874,-0.166247326,38701,"02_38701",1
"49",1033278,"OD_2014_252527","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,2,"2/23/2014 0:00","d862",1,-263,0.0013662,40.01,-70.79,7.737474079,33.72797542,35.11164211,7.301059217,-0.183603829,41249,"02_41249",1
"50",1033267,"WH__200604_1720_1_22","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2006,3,"3/10/2006 0:00","d862",1,-199,0.0062665,37.705317,-74.20175,9.102679621,34.14458525,35.00819093,6.746571772,-0.18205842,35580,"03_35580",1
"51",1033268,"WH__200902_1680_3_30","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2009,3,"3/6/2009 0:00","d862",1,-241,0.0067751,36.73027,-74.65905,10.88884025,34.49819646,34.75193648,4.855041692,-0.180346568,33247,"03_33247",1
"52",1033269,"WH__201001_1720_1_97","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2010,3,"3/10/2010 0:00","d862",1,-294,0.232254,37.856218,-74.035712,9.552274246,34.30365845,34.65303639,4.656974559,-0.196519594,35971,"03_35971",1
"53",1033272,"OD_2008_73605","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2008,4,"4/18/2008 0:00","d862",1,-365,0.1611,39.96,-70.19,8.759157463,34.17253165,35.02836958,7.008039815,-0.21710371,41257,"04_41257",1
"54",1033273,"OD_2010_150472","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/13/2010 0:00","d862",1,-303,0.0680697,37.87,-74.07,10.29582445,34.11343683,34.77139119,5.069033218,-0.201508393,35970,"04_35970",1
"55",1033274,"OD_2010_161754","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2010,4,"4/22/2010 0:00","d862",1,-230,0.0032131,40.01,-70.69,8.503097127,34.1833592,35.13416794,8.475622831,-0.230443245,41250,"04_41250",1
"56",1033275,"OD_2011_161835","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,4,"4/14/2011 0:00","d862",1,-217,0.204019,38.91,-72.9,9.478267299,34.00442941,34.73431637,4.906354043,-0.202461279,38507,"04_38507",1
"57",1033279,"OD_2014_293107","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,8,"8/20/2014 0:00","d862",1,-305,0.0158095,38.38,-73.46,24.67174449,33.5116005,34.66217861,4.486121853,-0.066868321,37336,"08_37336",1
"58",1033266,"WH__200306_1080_1_1","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2003,9,"9/7/2003 0:00","d862",1,-370,0.0001765,39.973333,-70.927167,22.0600741,34.1957772,35.22268989,7.253099782,-0.08410309,41247,"09_41247",1
"59",1033270,"WH__201004_1680_2_16","BOTTOM_TRAWL_SURVEY","TRAWL_OTTOR_BOTTOM",2010,9,"9/11/2010 0:00","d862",1,-223,0.0295469,36.818658,-74.654423,23.5938164,34.4059692,34.79241929,5.266982107,-0.042423181,33441,"09_33441",1
"60",1033280,"OD_2014_298772","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,11,"11/29/2014 0:00","d862",1,-207,0.0346993,40.06,-70.49,13.53342152,33.90004773,35.50354649,12.47063209,-0.117434242,41447,"11_41447",1
"61",1033277,"OD_2012_337148","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,12,"12/14/2012 0:00","d862",1,-251,0.0048582,40.01,-71.22,11.88783562,33.94281083,35.23171407,7.357543402,-0.130443528,41244,"12_41244",1
"16",1036600,"OD_2007_53549","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2007,1,"1/14/2007 0:00","d743",1,-45,0.0428841,35.62,-75.02,13.38999217,34.63703402,34.16935029,13.75806057,-0.124917868,30526,"01_30526",0
"17",1036603,"OD_2011_100314","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2011,1,"1/16/2011 0:00","d743",1,-143,0.358707,38.14,-73.8,11.56786618,34.71200655,34.83453097,5.26067273,-0.152412398,36750,"01_36750",0
"18",1036610,"OD_2013_111217","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,1,"1/25/2013 0:00","d743",1,-155,0.209367,39.44,-72.31,10.28397893,34.04411252,35.28610911,9.638458849,-0.138024083,39872,"01_39872",0
"19",1036606,"OD_2012_238188","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2012,2,"2/1/2012 0:00","d743",1,-300,0.0409244,38.39,-73.47,10.21022588,34.49510901,34.63451251,4.511259577,-0.182086477,37336,"02_37336",0
"20",1036612,"OD_2013_178586","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,2,"2/19/2013 0:00","d743",1,-126,0.0064058,40.13,-70.16,6.592201143,32.91216366,33.48570562,9.528878862,-0.145070226,41645,"02_41645",0
"21",1036608,"OD_2013_96068","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/11/2013 0:00","d743",1,-129,0.228642,38.15,-73.77,9.076045655,34.20872753,34.77817443,5.203312472,-0.19215344,36750,"03_36750",0
"22",1036609,"OD_2013_96260","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/14/2013 0:00","d743",1,-147,0.013292,38.26,-73.66,8.973299266,34.18454689,35.07925615,7.673341424,-0.191404158,36945,"03_36945",0
"23",1036611,"OD_2013_176397","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2013,3,"3/15/2013 0:00","d743",1,-251,0.047323,38.08,-73.85,9.123149282,34.21116332,34.82618828,5.415958393,-0.192687779,36555,"03_36555",0
"24",1036613,"OD_2014_212892","OBSERVER_PROGRAM","TRAWL_OTTOR_BOTTOM",2014,3,"3/21/2014 0:00","d743",1,-144,0.0076556,38.03,-73.91,9.146975311,34.2036157,34.96611313,6.158694957,-0.1905276,36360,"03_36360",0
